Prepare: check process on cuda: 2...
Start: create dataset: [alpha: 0.75], [beta: 25.0]
Finish: epoch: 116 / 500, time cost: 39.90 sec, 
              Loss: [Train: p = 1.03537, q = 1.23215], 
              Loss: [Test: p = 1.04177, q = 1.24079],
              Effect: [ate-q], [train: 0.21430], [test: 0.21434]
********************************************************************************
Finish: epoch: 117 / 500, time cost: 37.51 sec, 
              Loss: [Train: p = 1.03522, q = 1.23160], 
              Loss: [Test: p = 1.04169, q = 1.24007],
              Effect: [ate-q], [train: 0.21562], [test: 0.21566]
********************************************************************************
Finish: epoch: 118 / 500, time cost: 37.26 sec, 
              Loss: [Train: p = 1.03506, q = 1.23077], 
              Loss: [Test: p = 1.04154, q = 1.24047],
              Effect: [ate-q], [train: 0.21435], [test: 0.21438]
********************************************************************************
Finish: epoch: 119 / 500, time cost: 37.85 sec, 
              Loss: [Train: p = 1.03490, q = 1.23184], 
              Loss: [Test: p = 1.04143, q = 1.24060],
              Effect: [ate-q], [train: 0.21756], [test: 0.21760]
********************************************************************************
Finish: epoch: 120 / 500, time cost: 40.13 sec, 
              Loss: [Train: p = 1.03481, q = 1.23155], 
              Loss: [Test: p = 1.04130, q = 1.24027],
              Effect: [ate-q], [train: 0.21726], [test: 0.21730]
********************************************************************************
Finish: epoch: 121 / 500, time cost: 37.47 sec, 
              Loss: [Train: p = 1.03470, q = 1.23111], 
              Loss: [Test: p = 1.04119, q = 1.24067],
              Effect: [ate-q], [train: 0.21675], [test: 0.21679]
********************************************************************************
Finish: epoch: 122 / 500, time cost: 37.30 sec, 
              Loss: [Train: p = 1.03447, q = 1.23086], 
              Loss: [Test: p = 1.04106, q = 1.24010],
              Effect: [ate-q], [train: 0.21463], [test: 0.21468]
********************************************************************************
Finish: epoch: 123 / 500, time cost: 37.75 sec, 
              Loss: [Train: p = 1.03426, q = 1.23054], 
              Loss: [Test: p = 1.04097, q = 1.23970],
              Effect: [ate-q], [train: 0.21978], [test: 0.21984]
********************************************************************************
Finish: epoch: 124 / 500, time cost: 38.21 sec, 
              Loss: [Train: p = 1.03420, q = 1.23038], 
              Loss: [Test: p = 1.04085, q = 1.23981],
              Effect: [ate-q], [train: 0.21532], [test: 0.21537]
********************************************************************************
Finish: epoch: 125 / 500, time cost: 43.32 sec, 
              Loss: [Train: p = 1.03396, q = 1.23064], 
              Loss: [Test: p = 1.04074, q = 1.23975],
              Effect: [ate-q], [train: 0.21744], [test: 0.21750]
********************************************************************************
Finish: epoch: 126 / 500, time cost: 40.22 sec, 
              Loss: [Train: p = 1.03388, q = 1.22989], 
              Loss: [Test: p = 1.04062, q = 1.23971],
              Effect: [ate-q], [train: 0.21631], [test: 0.21637]
********************************************************************************
Finish: epoch: 127 / 500, time cost: 37.01 sec, 
              Loss: [Train: p = 1.03378, q = 1.22997], 
              Loss: [Test: p = 1.04050, q = 1.23998],
              Effect: [ate-q], [train: 0.21918], [test: 0.21924]
********************************************************************************
Finish: epoch: 128 / 500, time cost: 37.85 sec, 
              Loss: [Train: p = 1.03362, q = 1.22951], 
              Loss: [Test: p = 1.04039, q = 1.23981],
              Effect: [ate-q], [train: 0.21690], [test: 0.21696]
********************************************************************************
Finish: epoch: 129 / 500, time cost: 39.35 sec, 
              Loss: [Train: p = 1.03346, q = 1.22966], 
              Loss: [Test: p = 1.04030, q = 1.23954],
              Effect: [ate-q], [train: 0.21659], [test: 0.21665]
********************************************************************************
Finish: epoch: 130 / 500, time cost: 37.28 sec, 
              Loss: [Train: p = 1.03332, q = 1.22944], 
              Loss: [Test: p = 1.04018, q = 1.23988],
              Effect: [ate-q], [train: 0.21854], [test: 0.21860]
********************************************************************************
Finish: epoch: 131 / 500, time cost: 37.47 sec, 
              Loss: [Train: p = 1.03322, q = 1.22889], 
              Loss: [Test: p = 1.04005, q = 1.23912],
              Effect: [ate-q], [train: 0.21331], [test: 0.21338]
********************************************************************************
Finish: epoch: 132 / 500, time cost: 37.13 sec, 
              Loss: [Train: p = 1.03306, q = 1.22920], 
              Loss: [Test: p = 1.03994, q = 1.23975],
              Effect: [ate-q], [train: 0.21626], [test: 0.21633]
********************************************************************************
Finish: epoch: 133 / 500, time cost: 39.38 sec, 
              Loss: [Train: p = 1.03290, q = 1.22835], 
              Loss: [Test: p = 1.03985, q = 1.23927],
              Effect: [ate-q], [train: 0.21618], [test: 0.21625]
********************************************************************************
Finish: epoch: 134 / 500, time cost: 37.70 sec, 
              Loss: [Train: p = 1.03276, q = 1.22848], 
              Loss: [Test: p = 1.03979, q = 1.23916],
              Effect: [ate-q], [train: 0.21371], [test: 0.21378]
********************************************************************************
Finish: epoch: 135 / 500, time cost: 36.97 sec, 
              Loss: [Train: p = 1.03269, q = 1.22841], 
              Loss: [Test: p = 1.03969, q = 1.23891],
              Effect: [ate-q], [train: 0.21070], [test: 0.21077]
********************************************************************************
Finish: epoch: 136 / 500, time cost: 36.29 sec, 
              Loss: [Train: p = 1.03254, q = 1.22831], 
              Loss: [Test: p = 1.03957, q = 1.23861],
              Effect: [ate-q], [train: 0.21505], [test: 0.21513]
********************************************************************************
Finish: epoch: 137 / 500, time cost: 36.77 sec, 
              Loss: [Train: p = 1.03235, q = 1.22778], 
              Loss: [Test: p = 1.03949, q = 1.23869],
              Effect: [ate-q], [train: 0.21248], [test: 0.21256]
********************************************************************************
Finish: epoch: 138 / 500, time cost: 39.43 sec, 
              Loss: [Train: p = 1.03221, q = 1.22717], 
              Loss: [Test: p = 1.03936, q = 1.23916],
              Effect: [ate-q], [train: 0.21591], [test: 0.21600]
********************************************************************************
Finish: epoch: 139 / 500, time cost: 36.48 sec, 
              Loss: [Train: p = 1.03212, q = 1.22789], 
              Loss: [Test: p = 1.03927, q = 1.23849],
              Effect: [ate-q], [train: 0.21508], [test: 0.21517]
********************************************************************************
Finish: epoch: 140 / 500, time cost: 36.54 sec, 
              Loss: [Train: p = 1.03197, q = 1.22771], 
              Loss: [Test: p = 1.03918, q = 1.23829],
              Effect: [ate-q], [train: 0.21732], [test: 0.21741]
********************************************************************************
Finish: epoch: 141 / 500, time cost: 36.52 sec, 
              Loss: [Train: p = 1.03195, q = 1.22725], 
              Loss: [Test: p = 1.03903, q = 1.23857],
              Effect: [ate-q], [train: 0.21809], [test: 0.21817]
********************************************************************************
Finish: epoch: 142 / 500, time cost: 39.89 sec, 
              Loss: [Train: p = 1.03177, q = 1.22709], 
              Loss: [Test: p = 1.03897, q = 1.23839],
              Effect: [ate-q], [train: 0.21066], [test: 0.21075]
********************************************************************************
Finish: epoch: 143 / 500, time cost: 37.54 sec, 
              Loss: [Train: p = 1.03164, q = 1.22642], 
              Loss: [Test: p = 1.03884, q = 1.23862],
              Effect: [ate-q], [train: 0.21314], [test: 0.21323]
********************************************************************************
Finish: epoch: 144 / 500, time cost: 37.78 sec, 
              Loss: [Train: p = 1.03149, q = 1.22667], 
              Loss: [Test: p = 1.03876, q = 1.23837],
              Effect: [ate-q], [train: 0.21357], [test: 0.21366]
********************************************************************************
Finish: epoch: 145 / 500, time cost: 37.55 sec, 
              Loss: [Train: p = 1.03132, q = 1.22610], 
              Loss: [Test: p = 1.03869, q = 1.23864],
              Effect: [ate-q], [train: 0.20990], [test: 0.20999]
********************************************************************************
Finish: epoch: 146 / 500, time cost: 39.46 sec, 
              Loss: [Train: p = 1.03127, q = 1.22609], 
              Loss: [Test: p = 1.03861, q = 1.23801],
              Effect: [ate-q], [train: 0.21432], [test: 0.21444]
********************************************************************************
Finish: epoch: 147 / 500, time cost: 37.71 sec, 
              Loss: [Train: p = 1.03111, q = 1.22578], 
              Loss: [Test: p = 1.03849, q = 1.23862],
              Effect: [ate-q], [train: 0.20818], [test: 0.20829]
********************************************************************************
Finish: epoch: 148 / 500, time cost: 37.53 sec, 
              Loss: [Train: p = 1.03098, q = 1.22583], 
              Loss: [Test: p = 1.03841, q = 1.23773],
              Effect: [ate-q], [train: 0.20959], [test: 0.20970]
********************************************************************************
Finish: epoch: 149 / 500, time cost: 37.70 sec, 
              Loss: [Train: p = 1.03085, q = 1.22595], 
              Loss: [Test: p = 1.03831, q = 1.23832],
              Effect: [ate-q], [train: 0.21600], [test: 0.21612]
********************************************************************************
Finish: epoch: 150 / 500, time cost: 37.61 sec, 
              Loss: [Train: p = 1.03075, q = 1.22555], 
              Loss: [Test: p = 1.03822, q = 1.23799],
              Effect: [ate-q], [train: 0.21050], [test: 0.21061]
********************************************************************************
Finish: epoch: 151 / 500, time cost: 39.97 sec, 
              Loss: [Train: p = 1.03064, q = 1.22540], 
              Loss: [Test: p = 1.03816, q = 1.23799],
              Effect: [ate-q], [train: 0.21285], [test: 0.21297]
********************************************************************************
Finish: epoch: 152 / 500, time cost: 38.02 sec, 
              Loss: [Train: p = 1.03045, q = 1.22533], 
              Loss: [Test: p = 1.03805, q = 1.23781],
              Effect: [ate-q], [train: 0.21481], [test: 0.21493]
********************************************************************************
Finish: epoch: 153 / 500, time cost: 37.72 sec, 
              Loss: [Train: p = 1.03037, q = 1.22478], 
              Loss: [Test: p = 1.03795, q = 1.23779],
              Effect: [ate-q], [train: 0.21430], [test: 0.21442]
********************************************************************************
Finish: epoch: 154 / 500, time cost: 37.31 sec, 
              Loss: [Train: p = 1.03021, q = 1.22460], 
              Loss: [Test: p = 1.03784, q = 1.23747],
              Effect: [ate-q], [train: 0.21385], [test: 0.21397]
********************************************************************************
Finish: epoch: 155 / 500, time cost: 39.82 sec, 
              Loss: [Train: p = 1.03016, q = 1.22478], 
              Loss: [Test: p = 1.03778, q = 1.23755],
              Effect: [ate-q], [train: 0.21031], [test: 0.21044]
********************************************************************************
Finish: epoch: 156 / 500, time cost: 37.86 sec, 
              Loss: [Train: p = 1.03001, q = 1.22430], 
              Loss: [Test: p = 1.03763, q = 1.23753],
              Effect: [ate-q], [train: 0.21413], [test: 0.21426]
********************************************************************************
Finish: epoch: 157 / 500, time cost: 37.73 sec, 
              Loss: [Train: p = 1.02998, q = 1.22400], 
              Loss: [Test: p = 1.03760, q = 1.23764],
              Effect: [ate-q], [train: 0.20845], [test: 0.20857]
********************************************************************************
Finish: epoch: 158 / 500, time cost: 37.78 sec, 
              Loss: [Train: p = 1.02970, q = 1.22404], 
              Loss: [Test: p = 1.03752, q = 1.23741],
              Effect: [ate-q], [train: 0.20907], [test: 0.20921]
********************************************************************************
Finish: epoch: 159 / 500, time cost: 38.85 sec, 
              Loss: [Train: p = 1.02974, q = 1.22314], 
              Loss: [Test: p = 1.03740, q = 1.23698],
              Effect: [ate-q], [train: 0.21752], [test: 0.21767]
********************************************************************************
Finish: epoch: 160 / 500, time cost: 38.12 sec, 
              Loss: [Train: p = 1.02953, q = 1.22380], 
              Loss: [Test: p = 1.03734, q = 1.23714],
              Effect: [ate-q], [train: 0.21744], [test: 0.21759]
********************************************************************************
Finish: epoch: 161 / 500, time cost: 38.06 sec, 
              Loss: [Train: p = 1.02946, q = 1.22335], 
              Loss: [Test: p = 1.03728, q = 1.23765],
              Effect: [ate-q], [train: 0.20864], [test: 0.20879]
********************************************************************************
Finish: epoch: 162 / 500, time cost: 38.14 sec, 
              Loss: [Train: p = 1.02930, q = 1.22337], 
              Loss: [Test: p = 1.03722, q = 1.23733],
              Effect: [ate-q], [train: 0.20880], [test: 0.20895]
********************************************************************************
Finish: epoch: 163 / 500, time cost: 38.18 sec, 
              Loss: [Train: p = 1.02919, q = 1.22305], 
              Loss: [Test: p = 1.03710, q = 1.23730],
              Effect: [ate-q], [train: 0.20655], [test: 0.20671]
********************************************************************************
Finish: epoch: 164 / 500, time cost: 40.18 sec, 
              Loss: [Train: p = 1.02917, q = 1.22280], 
              Loss: [Test: p = 1.03703, q = 1.23714],
              Effect: [ate-q], [train: 0.21249], [test: 0.21265]
********************************************************************************
Finish: epoch: 165 / 500, time cost: 38.01 sec, 
              Loss: [Train: p = 1.02895, q = 1.22222], 
              Loss: [Test: p = 1.03695, q = 1.23632],
              Effect: [ate-q], [train: 0.21635], [test: 0.21651]
********************************************************************************
Finish: epoch: 166 / 500, time cost: 37.93 sec, 
              Loss: [Train: p = 1.02881, q = 1.22229], 
              Loss: [Test: p = 1.03687, q = 1.23629],
              Effect: [ate-q], [train: 0.21240], [test: 0.21257]
********************************************************************************
Finish: epoch: 167 / 500, time cost: 37.98 sec, 
              Loss: [Train: p = 1.02883, q = 1.22228], 
              Loss: [Test: p = 1.03675, q = 1.23679],
              Effect: [ate-q], [train: 0.20946], [test: 0.20963]
********************************************************************************
Finish: epoch: 168 / 500, time cost: 39.86 sec, 
              Loss: [Train: p = 1.02868, q = 1.22203], 
              Loss: [Test: p = 1.03670, q = 1.23677],
              Effect: [ate-q], [train: 0.21020], [test: 0.21037]
********************************************************************************
Finish: epoch: 169 / 500, time cost: 37.70 sec, 
              Loss: [Train: p = 1.02849, q = 1.22210], 
              Loss: [Test: p = 1.03662, q = 1.23610],
              Effect: [ate-q], [train: 0.20953], [test: 0.20970]
********************************************************************************
Finish: epoch: 170 / 500, time cost: 38.15 sec, 
              Loss: [Train: p = 1.02841, q = 1.22129], 
              Loss: [Test: p = 1.03653, q = 1.23637],
              Effect: [ate-q], [train: 0.21170], [test: 0.21187]
********************************************************************************
Finish: epoch: 171 / 500, time cost: 37.88 sec, 
              Loss: [Train: p = 1.02835, q = 1.22118], 
              Loss: [Test: p = 1.03644, q = 1.23663],
              Effect: [ate-q], [train: 0.21164], [test: 0.21183]
********************************************************************************
Finish: epoch: 172 / 500, time cost: 38.15 sec, 
              Loss: [Train: p = 1.02829, q = 1.22127], 
              Loss: [Test: p = 1.03639, q = 1.23573],
              Effect: [ate-q], [train: 0.21077], [test: 0.21097]
********************************************************************************
Finish: epoch: 173 / 500, time cost: 39.83 sec, 
              Loss: [Train: p = 1.02811, q = 1.22064], 
              Loss: [Test: p = 1.03632, q = 1.23648],
              Effect: [ate-q], [train: 0.20740], [test: 0.20759]
********************************************************************************
Finish: epoch: 174 / 500, time cost: 37.18 sec, 
              Loss: [Train: p = 1.02803, q = 1.22057], 
              Loss: [Test: p = 1.03624, q = 1.23603],
              Effect: [ate-q], [train: 0.20638], [test: 0.20657]
********************************************************************************
Finish: epoch: 175 / 500, time cost: 37.67 sec, 
              Loss: [Train: p = 1.02789, q = 1.22018], 
              Loss: [Test: p = 1.03613, q = 1.23622],
              Effect: [ate-q], [train: 0.21016], [test: 0.21036]
********************************************************************************
Finish: epoch: 176 / 500, time cost: 37.63 sec, 
              Loss: [Train: p = 1.02781, q = 1.22047], 
              Loss: [Test: p = 1.03610, q = 1.23613],
              Effect: [ate-q], [train: 0.20852], [test: 0.20872]
********************************************************************************
Finish: epoch: 177 / 500, time cost: 38.81 sec, 
              Loss: [Train: p = 1.02769, q = 1.21978], 
              Loss: [Test: p = 1.03597, q = 1.23612],
              Effect: [ate-q], [train: 0.21694], [test: 0.21715]
********************************************************************************
Finish: epoch: 178 / 500, time cost: 36.81 sec, 
              Loss: [Train: p = 1.02764, q = 1.22041], 
              Loss: [Test: p = 1.03593, q = 1.23586],
              Effect: [ate-q], [train: 0.21246], [test: 0.21267]
********************************************************************************
Finish: epoch: 179 / 500, time cost: 37.77 sec, 
              Loss: [Train: p = 1.02743, q = 1.21930], 
              Loss: [Test: p = 1.03584, q = 1.23606],
              Effect: [ate-q], [train: 0.20975], [test: 0.20996]
********************************************************************************
Finish: epoch: 180 / 500, time cost: 37.89 sec, 
              Loss: [Train: p = 1.02733, q = 1.21930], 
              Loss: [Test: p = 1.03577, q = 1.23579],
              Effect: [ate-q], [train: 0.20923], [test: 0.20945]
********************************************************************************
Finish: epoch: 181 / 500, time cost: 39.40 sec, 
              Loss: [Train: p = 1.02724, q = 1.21859], 
              Loss: [Test: p = 1.03570, q = 1.23594],
              Effect: [ate-q], [train: 0.20871], [test: 0.20893]
********************************************************************************
Finish: epoch: 182 / 500, time cost: 37.41 sec, 
              Loss: [Train: p = 1.02711, q = 1.21871], 
              Loss: [Test: p = 1.03562, q = 1.23626],
              Effect: [ate-q], [train: 0.21509], [test: 0.21533]
********************************************************************************
Finish: epoch: 183 / 500, time cost: 37.71 sec, 
              Loss: [Train: p = 1.02712, q = 1.21850], 
              Loss: [Test: p = 1.03555, q = 1.23599],
              Effect: [ate-q], [train: 0.20708], [test: 0.20730]
********************************************************************************
Finish: epoch: 184 / 500, time cost: 38.51 sec, 
              Loss: [Train: p = 1.02703, q = 1.21874], 
              Loss: [Test: p = 1.03551, q = 1.23531],
              Effect: [ate-q], [train: 0.20947], [test: 0.20971]
********************************************************************************
Finish: epoch: 185 / 500, time cost: 37.95 sec, 
              Loss: [Train: p = 1.02679, q = 1.21801], 
              Loss: [Test: p = 1.03540, q = 1.23629],
              Effect: [ate-q], [train: 0.21032], [test: 0.21056]
********************************************************************************
Finish: epoch: 186 / 500, time cost: 39.54 sec, 
              Loss: [Train: p = 1.02676, q = 1.21782], 
              Loss: [Test: p = 1.03534, q = 1.23567],
              Effect: [ate-q], [train: 0.21256], [test: 0.21279]
********************************************************************************
Finish: epoch: 187 / 500, time cost: 39.53 sec, 
              Loss: [Train: p = 1.02662, q = 1.21785], 
              Loss: [Test: p = 1.03530, q = 1.23566],
              Effect: [ate-q], [train: 0.21014], [test: 0.21038]
********************************************************************************
Finish: epoch: 188 / 500, time cost: 38.71 sec, 
              Loss: [Train: p = 1.02659, q = 1.21734], 
              Loss: [Test: p = 1.03521, q = 1.23563],
              Effect: [ate-q], [train: 0.21176], [test: 0.21202]
********************************************************************************
Finish: epoch: 189 / 500, time cost: 39.05 sec, 
              Loss: [Train: p = 1.02642, q = 1.21732], 
              Loss: [Test: p = 1.03519, q = 1.23547],
              Effect: [ate-q], [train: 0.20879], [test: 0.20905]
********************************************************************************
Finish: epoch: 190 / 500, time cost: 40.71 sec, 
              Loss: [Train: p = 1.02635, q = 1.21747], 
              Loss: [Test: p = 1.03509, q = 1.23555],
              Effect: [ate-q], [train: 0.21207], [test: 0.21233]
********************************************************************************
Finish: epoch: 191 / 500, time cost: 37.94 sec, 
              Loss: [Train: p = 1.02620, q = 1.21692], 
              Loss: [Test: p = 1.03500, q = 1.23514],
              Effect: [ate-q], [train: 0.20992], [test: 0.21019]
********************************************************************************
Finish: epoch: 192 / 500, time cost: 39.09 sec, 
              Loss: [Train: p = 1.02623, q = 1.21646], 
              Loss: [Test: p = 1.03491, q = 1.23505],
              Effect: [ate-q], [train: 0.20971], [test: 0.20999]
********************************************************************************
Finish: epoch: 193 / 500, time cost: 39.27 sec, 
              Loss: [Train: p = 1.02614, q = 1.21643], 
              Loss: [Test: p = 1.03488, q = 1.23537],
              Effect: [ate-q], [train: 0.20132], [test: 0.20159]
********************************************************************************
Finish: epoch: 194 / 500, time cost: 40.69 sec, 
              Loss: [Train: p = 1.02595, q = 1.21649], 
              Loss: [Test: p = 1.03482, q = 1.23494],
              Effect: [ate-q], [train: 0.20498], [test: 0.20526]
********************************************************************************
Finish: epoch: 195 / 500, time cost: 38.44 sec, 
              Loss: [Train: p = 1.02585, q = 1.21622], 
              Loss: [Test: p = 1.03474, q = 1.23490],
              Effect: [ate-q], [train: 0.20380], [test: 0.20408]
********************************************************************************
Finish: epoch: 196 / 500, time cost: 37.57 sec, 
              Loss: [Train: p = 1.02581, q = 1.21617], 
              Loss: [Test: p = 1.03468, q = 1.23483],
              Effect: [ate-q], [train: 0.21158], [test: 0.21188]
********************************************************************************
Finish: epoch: 197 / 500, time cost: 38.85 sec, 
              Loss: [Train: p = 1.02566, q = 1.21602], 
              Loss: [Test: p = 1.03464, q = 1.23492],
              Effect: [ate-q], [train: 0.20131], [test: 0.20160]
********************************************************************************
Finish: epoch: 198 / 500, time cost: 38.53 sec, 
              Loss: [Train: p = 1.02559, q = 1.21503], 
              Loss: [Test: p = 1.03454, q = 1.23506],
              Effect: [ate-q], [train: 0.20448], [test: 0.20478]
********************************************************************************
Finish: epoch: 199 / 500, time cost: 40.01 sec, 
              Loss: [Train: p = 1.02559, q = 1.21493], 
              Loss: [Test: p = 1.03446, q = 1.23524],
              Effect: [ate-q], [train: 0.20475], [test: 0.20506]
********************************************************************************
Finish: epoch: 200 / 500, time cost: 38.94 sec, 
              Loss: [Train: p = 1.02540, q = 1.21479], 
              Loss: [Test: p = 1.03440, q = 1.23503],
              Effect: [ate-q], [train: 0.20765], [test: 0.20795]
********************************************************************************
Finish: epoch: 201 / 500, time cost: 38.33 sec, 
              Loss: [Train: p = 1.02529, q = 1.21446], 
              Loss: [Test: p = 1.03435, q = 1.23509],
              Effect: [ate-q], [train: 0.20991], [test: 0.21023]
********************************************************************************
Finish: epoch: 202 / 500, time cost: 39.78 sec, 
              Loss: [Train: p = 1.02518, q = 1.21423], 
              Loss: [Test: p = 1.03427, q = 1.23497],
              Effect: [ate-q], [train: 0.20371], [test: 0.20403]
********************************************************************************
Finish: epoch: 203 / 500, time cost: 41.06 sec, 
              Loss: [Train: p = 1.02503, q = 1.21452], 
              Loss: [Test: p = 1.03418, q = 1.23441],
              Effect: [ate-q], [train: 0.20976], [test: 0.21008]
********************************************************************************
Finish: epoch: 204 / 500, time cost: 38.45 sec, 
              Loss: [Train: p = 1.02498, q = 1.21449], 
              Loss: [Test: p = 1.03413, q = 1.23455],
              Effect: [ate-q], [train: 0.21439], [test: 0.21473]
********************************************************************************
Finish: epoch: 205 / 500, time cost: 38.47 sec, 
              Loss: [Train: p = 1.02482, q = 1.21418], 
              Loss: [Test: p = 1.03405, q = 1.23476],
              Effect: [ate-q], [train: 0.20624], [test: 0.20658]
********************************************************************************
Finish: epoch: 206 / 500, time cost: 38.30 sec, 
              Loss: [Train: p = 1.02467, q = 1.21312], 
              Loss: [Test: p = 1.03402, q = 1.23454],
              Effect: [ate-q], [train: 0.20752], [test: 0.20787]
********************************************************************************
Finish: epoch: 207 / 500, time cost: 40.06 sec, 
              Loss: [Train: p = 1.02470, q = 1.21282], 
              Loss: [Test: p = 1.03398, q = 1.23455],
              Effect: [ate-q], [train: 0.20045], [test: 0.20079]
********************************************************************************
Finish: epoch: 208 / 500, time cost: 39.46 sec, 
              Loss: [Train: p = 1.02464, q = 1.21287], 
              Loss: [Test: p = 1.03391, q = 1.23499],
              Effect: [ate-q], [train: 0.20717], [test: 0.20752]
********************************************************************************
Finish: epoch: 209 / 500, time cost: 39.34 sec, 
              Loss: [Train: p = 1.02459, q = 1.21253], 
              Loss: [Test: p = 1.03383, q = 1.23466],
              Effect: [ate-q], [train: 0.20922], [test: 0.20959]
********************************************************************************
Finish: epoch: 210 / 500, time cost: 38.12 sec, 
              Loss: [Train: p = 1.02448, q = 1.21230], 
              Loss: [Test: p = 1.03379, q = 1.23437],
              Effect: [ate-q], [train: 0.20629], [test: 0.20665]
********************************************************************************
Finish: epoch: 211 / 500, time cost: 38.05 sec, 
              Loss: [Train: p = 1.02440, q = 1.21222], 
              Loss: [Test: p = 1.03370, q = 1.23409],
              Effect: [ate-q], [train: 0.20951], [test: 0.20988]
********************************************************************************
Finish: epoch: 212 / 500, time cost: 41.27 sec, 
              Loss: [Train: p = 1.02439, q = 1.21196], 
              Loss: [Test: p = 1.03364, q = 1.23477],
              Effect: [ate-q], [train: 0.20136], [test: 0.20174]
********************************************************************************
Finish: epoch: 213 / 500, time cost: 39.41 sec, 
              Loss: [Train: p = 1.02415, q = 1.21164], 
              Loss: [Test: p = 1.03361, q = 1.23487],
              Effect: [ate-q], [train: 0.20649], [test: 0.20687]
********************************************************************************
Finish: epoch: 214 / 500, time cost: 38.81 sec, 
              Loss: [Train: p = 1.02410, q = 1.21131], 
              Loss: [Test: p = 1.03358, q = 1.23456],
              Effect: [ate-q], [train: 0.20321], [test: 0.20359]
********************************************************************************
Finish: epoch: 215 / 500, time cost: 39.08 sec, 
              Loss: [Train: p = 1.02402, q = 1.21096], 
              Loss: [Test: p = 1.03350, q = 1.23460],
              Effect: [ate-q], [train: 0.20788], [test: 0.20826]
********************************************************************************
Finish: epoch: 216 / 500, time cost: 40.11 sec, 
              Loss: [Train: p = 1.02381, q = 1.21096], 
              Loss: [Test: p = 1.03344, q = 1.23447],
              Effect: [ate-q], [train: 0.20139], [test: 0.20178]
********************************************************************************
Finish: epoch: 217 / 500, time cost: 39.36 sec, 
              Loss: [Train: p = 1.02383, q = 1.21027], 
              Loss: [Test: p = 1.03337, q = 1.23430],
              Effect: [ate-q], [train: 0.20205], [test: 0.20244]
********************************************************************************
Finish: epoch: 218 / 500, time cost: 39.18 sec, 
              Loss: [Train: p = 1.02371, q = 1.21035], 
              Loss: [Test: p = 1.03332, q = 1.23477],
              Effect: [ate-q], [train: 0.20231], [test: 0.20270]
********************************************************************************
Finish: epoch: 219 / 500, time cost: 38.89 sec, 
              Loss: [Train: p = 1.02362, q = 1.20954], 
              Loss: [Test: p = 1.03329, q = 1.23418],
              Effect: [ate-q], [train: 0.20545], [test: 0.20585]
********************************************************************************
Finish: epoch: 220 / 500, time cost: 40.18 sec, 
              Loss: [Train: p = 1.02354, q = 1.20952], 
              Loss: [Test: p = 1.03322, q = 1.23446],
              Effect: [ate-q], [train: 0.21263], [test: 0.21306]
********************************************************************************
Finish: epoch: 221 / 500, time cost: 38.45 sec, 
              Loss: [Train: p = 1.02348, q = 1.20936], 
              Loss: [Test: p = 1.03316, q = 1.23443],
              Effect: [ate-q], [train: 0.21044], [test: 0.21087]
********************************************************************************
Finish: epoch: 222 / 500, time cost: 38.09 sec, 
              Loss: [Train: p = 1.02336, q = 1.20890], 
              Loss: [Test: p = 1.03306, q = 1.23412],
              Effect: [ate-q], [train: 0.20216], [test: 0.20258]
********************************************************************************
Finish: epoch: 223 / 500, time cost: 37.68 sec, 
              Loss: [Train: p = 1.02332, q = 1.20847], 
              Loss: [Test: p = 1.03302, q = 1.23368],
              Effect: [ate-q], [train: 0.20145], [test: 0.20188]
********************************************************************************
Finish: epoch: 224 / 500, time cost: 37.97 sec, 
              Loss: [Train: p = 1.02320, q = 1.20895], 
              Loss: [Test: p = 1.03301, q = 1.23423],
              Effect: [ate-q], [train: 0.19853], [test: 0.19897]
********************************************************************************
Finish: epoch: 225 / 500, time cost: 39.69 sec, 
              Loss: [Train: p = 1.02317, q = 1.20813], 
              Loss: [Test: p = 1.03290, q = 1.23461],
              Effect: [ate-q], [train: 0.20651], [test: 0.20695]
********************************************************************************
Finish: epoch: 226 / 500, time cost: 37.92 sec, 
              Loss: [Train: p = 1.02308, q = 1.20832], 
              Loss: [Test: p = 1.03288, q = 1.23415],
              Effect: [ate-q], [train: 0.19960], [test: 0.20004]
********************************************************************************
Finish: epoch: 227 / 500, time cost: 38.06 sec, 
              Loss: [Train: p = 1.02298, q = 1.20749], 
              Loss: [Test: p = 1.03274, q = 1.23423],
              Effect: [ate-q], [train: 0.20641], [test: 0.20687]
********************************************************************************
Finish: epoch: 228 / 500, time cost: 38.07 sec, 
              Loss: [Train: p = 1.02299, q = 1.20802], 
              Loss: [Test: p = 1.03271, q = 1.23390],
              Effect: [ate-q], [train: 0.20637], [test: 0.20683]
********************************************************************************
Finish: epoch: 229 / 500, time cost: 39.94 sec, 
              Loss: [Train: p = 1.02273, q = 1.20740], 
              Loss: [Test: p = 1.03269, q = 1.23407],
              Effect: [ate-q], [train: 0.20498], [test: 0.20544]
********************************************************************************
Finish: epoch: 230 / 500, time cost: 37.58 sec, 
              Loss: [Train: p = 1.02274, q = 1.20697], 
              Loss: [Test: p = 1.03265, q = 1.23378],
              Effect: [ate-q], [train: 0.19585], [test: 0.19631]
********************************************************************************
Finish: epoch: 231 / 500, time cost: 38.03 sec, 
              Loss: [Train: p = 1.02265, q = 1.20670], 
              Loss: [Test: p = 1.03259, q = 1.23369],
              Effect: [ate-q], [train: 0.20228], [test: 0.20277]
********************************************************************************
Finish: epoch: 232 / 500, time cost: 37.75 sec, 
